Actividad_secundaria,Fecha,Estado
144133.106,2023,Aguascalientes
413624.086,2023,Baja California
28716.904,2023,Baja California Sur
398021.348,2023,Campeche
489729.514,2023,Coahuila de Zaragoza
33515.914,2023,Colima
73881.357,2023,Chiapas
407140.905,2023,Chihuahua
351316.336,2023,Ciudad de México
113261.902,2023,Durango
430737.587,2023,Guanajuato
49991.142,2023,Guerrero
168680.27,2023,Hidalgo
519570.881,2023,Jalisco
598500.06,2023,México
117186.003,2023,Michoacán de Ocampo
72591.051,2023,Morelos
29535.071,2023,Nayarit
791492.486,2023,Nuevo León
153234.964,2023,Oaxaca
290132.129,2023,Puebla
251958.473,2023,Querétaro
86604.574,2023,Quintana Roo
269853.94,2023,San Luis Potosí
94965.546,2023,Sinaloa
378399.065,2023,Sonora
416355.71,2023,Tabasco
293486.46,2023,Tamaulipas
50792.881,2023,Tlaxcala
302179.354,2023,Veracruz de Ignacio de la Llave
95374.759,2023,Yucatán
81668.563,2023,Zacatecas
